Date	Speakers	Title	Description	YouTube ID	Non-YouTube landing page	Slides landing page	Transcript	Slides download URL	Talk download URL	Start time	End time	Conference landing page	Default image	GitHub username	Training material	Installation	Type	Target audience	Language
2025-10-15	Aday Bujeda	Open OnDemand and Dataverse integration: OnDemand Loop demo	A demonstration of OnDemand Loop, a new open source application that integrates Open OnDemand and Dataverse, allowing researchers to compute on data and then upload results to Dataverse or to download data from Dataverse into their computation environment.		https://hu-my.sharepoint.com/:v:/g/personal/cboyd_iq_harvard_edu/EQstOjPovLNLhDGZ8wCU3r8BSLgZ-orpQ7cVaSxeIwc-iA?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=wTrGf1									abujeda					
2025-10-07	Pablo Valério Polônia	Open Journal Systems (OJS) integration with Dataverse	Demo of OJS 3+ integration with Dataverse		https://harvard.zoom.us/rec/share/mOEevbX94wuD73LylyU815IF0j4Cdw655_0OOdIhXBFDQd2UvDoW1s4qrBukWpF_.Kb2VBUW48DhF26Z1	https://lepidus.com.br/plugins/apresentacoes/DataverseIntegrationPlugin-DataverseCommunityTalk.pdf								pablovp86					
2025-09-24	Texas Data Repository	Using DVUploader for Bulk File Uploads	How to use DVUploader for bulk file uploads to Dataverse	7qINkx38mNg															
2025-09-02	Bikramjit Channa	Fighting AI Bots at Borealis	During the Dataverse community call, Bikramjit Channa talked about AI bot traffic at Borealis and other platforms and how he and his colleagues are dealing with it		https://harvard.zoom.us/rec/share/WWBZ-_UtWm8gbmZf6l2FFnmh9qqYT53UDlEt8qxXdgH8XoDhd9XsRdFcSQIwFkQ7.iWL9iur3fjm2aEef	https://docs.google.com/presentation/d/13UCVcQRhVZCEANwFWyl0afA3RyJfgx7pa7yHEhvmkSI								bikramj					
2025-09-02	Yijia (Jenna) Qi	Data Retention and Deletion Practices in Dataverse	During the Dataverse community call, Yijia (Jenna) Qi talked about her research about data deletion and retention practices		https://harvard.zoom.us/rec/share/WWBZ-_UtWm8gbmZf6l2FFnmh9qqYT53UDlEt8qxXdgH8XoDhd9XsRdFcSQIwFkQ7.iWL9iur3fjm2aEef	https://dataverse.org/file/dataverseretentionslidespdf		https://dataverse.org/sites/projects.iq.harvard.edu/files/dataverseorg/files/dataverse_retention_slides.pdf											
2025-08-07	Aday Bujeda	Open OnDemand and Dataverse integration: OnDemand Loop demo	Fast forward to 24:20 in the video to see a demonstration of OnDemand Loop, a new open source application that integrates Open OnDemand and Dataverse. This presentation was given at the monthly "tips and tricks" call hosted by the Open OnDemand project.		https://drive.google.com/file/d/1ItFEz7TiwjFuWBLGjXfOBWpehGN6-8Fu/view?usp=drive_link	https://groups.google.com/g/dataverse-community/c/_vX899PJDY4/m/oj7wtIoOBgAJ								abujeda					
2025-08-05	Santi Thompson	Data retention strategies	 A discussion of data retention strategies used at the Texas Data Repository (TDR) and beyond.		https://harvard.zoom.us/rec/share/V0Ea0iG52ZBh2KS_fd81KRGuW1ti5xSXkRBML0wDvpNfw6MunLqTJWf9F5GhvDHd.rm5hNOMbg9w0CM5j														
2025-07-01	Rok Roškar	Renku integration with Dataverse	Reusing published data through the Renku platform		https://harvard.zoom.us/rec/share/-_7pdf53H3vqRmJNdlvD8VhVM1pHWAG3EjmgXqFtw3JK8wHRKckgp2-A3gaYpkFT.2EJDbq8mUuV_db-2	https://groups.google.com/g/dataverse-community/c/2RZWXsKggSE/m/qBFGZqrKAwAJ								rokroskar					
2025-06-13	BSC	Announcing the 2026 Dataverse Community Meeting			https://drive.google.com/file/d/1cQKhg2CDf1x3I_uoqFrX9I04e-t7XEPL/view?usp=sharing														
2025-06-13	Michelle Itano	DCM2025 Keynote 3: The Imaging Data Use Case with Michelle Itano	Multidimensional challenges, An engaged open-source global community, and opportunities for impact.	nbWTWQIev_s		https://osf.io/j4r2e/files/7k295													
