GitHub Username	Primary installation	Zulip ID	Working Groups	Issue
kuriwaki				
kwenzig				
landreev	dataverse.harvard.edu	637063		
larsvilhuber				
LauraHuisintveld	dataverse.nl	713266		
lgarciap				
linsherpa	keen.zih.tu-dresden.de	733633		
lmaylein	heidata.uni-heidelberg.de	651855		
lobbikerivm				
Louis-wr	dataverse.no			
lubitchv	borealisdata.ca	698148		
luddaniel	entrepot.recherche.data.gouv.fr	649905		
M-DOREL				
Maham802				
markwilkinson		653164		
matthew-a-dunlap	dataverse.unc.edu			
maximilian-tech				
mbamouni	entrepot.recherche.data.gouv.fr			
mbarram				
mcgaerty	darus.uni-stuttgart.de			
mdmADA	dataverse.ada.edu.au			
meghangoodchild	borealisdata.ca		sensitive-data	
MellyGray	dataverse.harvard.edu			
mglavica	data.crossda.hr			
michbarsinai	dataverse.harvard.edu			
miramgleiber				
mlage				
myi100				
nana-boateng	borealisdata.ca	787413		
nightowlaz	dataverse.asu.edu	598843	large-data-support	
Nikos-Askitas				https://github.com/IQSS/dataverse/issues/9755
nmunatsibw				https://github.com/IQSS/dataverse/issues/10277
Odysseas640				
okaradeniz	rdr.kuleuven.be	655610		
orazionelson				
otter606				
Ozoubia				
pablovp86				
pacian		963333		
pallinger	repo.researchdata.hu	602779		
Parthsuii		1035407		
PatrickKibies				
PaulBoon	dataverse.nl	928678		
pdurbin	dataverse.harvard.edu	598112	containerization,documentation,pydataverse	
philip-muench	osnadata.ub.uni-osnabrueck.de			
philippconzett	dataverse.no	651833	sensitive-data	
phillipsjs				
pkiraly	data.goettingen-research-online.de	772415		
plecor				
plesubc	abacus.library.ubc.ca			
PLoboC	dunas.ua.pt			
poikilotherm	data.fz-juelich.de	598183	containerization	
ProfPhoenix				
prpfialho				
qqmyers	data.qdr.syr.edu		large-data-support,sensitive-data	
rachfern85	dataverse.asu.edu	744896	large-data-support,sensitive-data	
RAHMAHAMMA				
rawidiyaningrum				
RDA-UNR	dataverse.unr.edu.ar			
reikoch				
RemieJanssen				
ReneFGJr				
rhijmans				
RichCaloggero				
rmo-cdsp	data.sciencespo.fr			
rnichols7	dataverse.harvard.edu			
